team_id,team,region,country,track,size,status,year,wiki,section,Medal,award,parts,title,abstract
2225,Aachen,Europe,Germany,Environment,,Accepted,2017,http://2017.igem.org/Team:Aachen,Collegiate,gold,"Nominated for Best Environment Project, Overgrad;Nominated for Best Hardware, Overgrad",,"Salt Vault
","Decreasing fresh water availability is not only a problem for desert climate regions like North-Africa and the Middle East, but also for European countries like Germany or the Netherlands, where water pollution is mainly caused by industry.
We are modifying the genome of Saccharomyces cerevisiae to increase the uptake of various ions into the cell and store these inside its vacuole. This will be achieved by upregulation of native (vacuolar) ion importers and knock-out of ion exporters. Furthermore, we are expressing heterologous genes from the plant Arabidopsis thaliana in yeast to improve vacuolar ion accumulation, thus creating a microbial dustbin.
With this newly generated library of genetically engineered yeasts, we hope to offer a novel way of treating water contaminated by industrial processes and store pollutants in our intracellular reservoir, the Salt Vault. Then this concept can be employed by industries facing problems with high pollution in their process water.
"
2342,Aalto-Helsinki,Europe,Finland,Therapeutics,,Accepted,2017,http://2017.igem.org/Team:Aalto-Helsinki,Collegiate,sivel,"Nominated for Best Applied Design, Overgrad",,"Porifi - Purify your pores from acne bacteria
","Acne vulgaris affects 85% of adolescents at some point of their life, influencing their self-esteem negatively. Currently, antibiotics are among the most common acne treatments. However, 50% of bacteria associated with acne are already resistant to the antibiotics used. Our project aims to develop a novel treatment for acne using an antimicrobial peptide, dermcidin, naturally found in human sweat. Dermcidin has shown to be active against Propionibacterium acnes, the bacterium associated with acne.  Patients with acne also have reduced expression of dermcidin, which suggests that it might contribute to the condition. We aim to produce dermcidin tied to a cellulose-binding domain, which would enable the immobilization of the peptide on a cellulose surface. This would allow the usage of dermcidin in various skin care products, such as hydrogel masks and exfoliation pads.

"
2421,ACIBADEM_Istanbul,Europe,Turkey,,,Withdrawn,2017,http://2017.igem.org/Team:ACIBADEM_Istanbul,Collegiate, , ,,,
2217,AFCM-Egypt,Africa,Egypt,Therapeutics,,Accepted,2017,http://2017.igem.org/Team:AFCM-Egypt,Collegiate,gold,,,"Knock-in of Circular RNA gene in Hepatocellular Carcinoma cells via CRISPR/Cas9
"," Hepatocellular Carcinoma (HCC) is the leading cause of cancer deaths worldwide & ranked first among cancers in males and next to breast cancer among females in Egypt - based upon results of National Cancer Registry Program of Egypt-. ""Grabbing the problem from the roots"" is the best way to decently describe the use of CRISPR, a special gene editing technique that we will be using to modulate a certain circRNA and adjust its gene expression, which is down-regulated in hepatocellular carcinoma. This in consequence modifies miRNA expression thus amending the mRNA gene expression; which is the visible problem in our trials. This will lead us to adopt a novel strategy for miRNA suppression by using circRNAs. This is accomplished by utilizing a synthetic circuit to give rise to a springboard in our battle against cancer. 
"
2459,AHUT_China,Asia,China,Information Processing,,Accepted,2017,http://2017.igem.org/Team:AHUT_China,Collegiate,,,,"Biocompass: The Maze Runner
","    Our project is based on ""The Maze Runner"", where Thomas experienced the maze in constant change. How he reached the exit can be abstracted as classics of Graph Theory. Using the theory of biology, we designed experiments for stimulation and through means we found several feasible paths. It's the extension of our project in 2014 and 2016, the difference is: this project is an analogy of the maze, and can be extended to many practical fields. 
    In detail, we combined experimental design with theoretical analysis. Firstly, we used computer processing for theoretical analysis of specifics in the movie. Then, we utilize biology-related instruments and provided materials to process sequence by trail and error. Finally, we extend related methods to other practical fields.
    The project not only has theoretical values: solving a math problem, but also bears broad application prospects, so it can be considered as an alternative for information processing.


"
2255,Aix-Marseille,Europe,France,Environment,,Accepted,2017,http://2017.igem.org/Team:Aix-Marseille,Collegiate,gold,,,"KILL XYL : We have vermin to kill
","Our project, KILL XYL will provide a treatment for the disease caused by the plant pathogen Xylella fastidiosa. This disease currently causes loss of millions of acres of crops and no cure exists.

KILL XYL is an efficient and green cure that works in two steps. First, we detect early symptoms of the disease using a drone equipped with an infra-red camera. We then treat the disease with our product, designed to KILL XYL. This product contains a powerful combination of specific phage-like particles and a green cocktail optimized to break-up bacterial aggregates.

Our treatent will kill the bacteria, stop disease progression and unclog the trees vessels, all without using any harmful chemicals, pesticides or GMO crops thanks to synthetic biology.

"
2457,Amazonas_Brazil,Latin America,Brazil,Foundational Advance,,Accepted,2017,http://2017.igem.org/Team:Amazonas_Brazil,Collegiate,sivel,,,"CRISPeasy: Building a standard BioBrick toolbox for bacterial genome engineering 
","The building block of Synthetic Biology is to turn biological systems easier to engineer. Standardization is a fundamental key to that goal. CRISPR/Cas9 machinery paves the way for precisely edit living cell genomes. Although revolutionary, SynBio community has an obstacle: CRISPR/Cas9 protocol is superficially standardized and requires a considerable amount of wet lab work due to the multi-plasmid system. We aim to build a toolbox for one-step genome engineering based on a standard BioBrick vector. To go further and beyond, we unified human practice with pattern recognition and machine learning in order to overcome boundaries in the way of SynBio advancement. We also bring the concept of computational repository for lab ""algorithms"", the protocols, developing an open and integrated platform to expand the iGEM experience. Our perspective is to leave a legacy and provide a bacterial genome editing machinery based on BioBrick parts assembly easy to engineer as A-B-C CRISPR.
"
2385,Amsterdam,Europe,Netherlands,Manufacturing,,Accepted,2017,http://2017.igem.org/Team:Amsterdam,Collegiate,bronze,,,"Photosynthetic magic: Producing fumarate out of thin air using cyanobacterial cell factories
","Irrespective of where you come from, we all share the global responsibility of ensuring that our societies are sustainable. We have been depleting the worlds resources and filling the atmosphere with abnormal levels of CO2 for too long. Our team has decided to take on this challenge by creating photosynthetic cell factories, to directly use the pollutant CO2 as a resource for synthesizing fumarate - a versatile chemical traditionally manufactured from petroleum. We aim to stably produce, sense and export fumarate under conditions mimicking industrial settings. Stable production is achieved by activating and evolving different metabolic modules in response to natural day/night cycles. To detect fumarate, we developed a biosensor suitable for high-throughput screening. Finally, to allow optimal fumarate export, we investigate its transport mechanism. These efforts attracted attention from beyond academia, as our cell factories may help in taking CO2 out of thin air and into a bio-based economy.
"
2270,AQA_Unesp,Latin America,Brazil,Therapeutics,,Accepted,2017,http://2017.igem.org/Team:AQA_Unesp,Collegiate,gold,,,"Insubiota: an alternative treatment to type 1 diabetes using genetically engineered probiotic
","Our project was inspired on the alarming and increasing number of diabetic people, especially diabetes mellitus type 1 patients, who are insulin dependent. The lack of less invasive treatments has motivated us to develop a new treatment based on the probiotic bacteria Lactococcus lactis, that was engineered to produce a single-chain analog insulin in human diabetics microbiota. The bacteria will be able to produce the insulin associated with a secretion signal sequence and cell-penetrating peptides, to ensure its uptake. Moreover, the synthesis of the insulin will be controlled by the natural bacteria system of catabolite repression with regulation by a sRNA. At the presence of glucose, the insulin gene expression will be activated, and then, it will be ready to be secreted and absorbed, reaching the blood and performing its biological function. The final product could be a fermented milk or a lyophilized that could be easily ingested by patients.
"
2357,Arizona_State,North America,United States,Foundational Advance,,Accepted,2017,http://2017.igem.org/Team:Arizona_State,Collegiate,gold,"Nominated for Best Presentation, Overgrad;Nominated for Best New Basic Part, Overgrad",,"EVR-QST: Engineering Variable Regulators for a Quorum Sensing Toolbox
","Homoserine lactones (HSLs) are a family of small molecules used to coordinate behavior in some bacteria. Group regulation is known as quorum sensing (QS) and is responsible for behaviors such as bacterial virulence, growth, and bioluminescence. Genetic components from QS systems have been modularized by synthetic biologists and incorporated into synthetic circuits. A significant hurdle to using HSLs in synthetic systems is cross-reactivity between a sender and non-target receivers. Crosstalk can be mitigated by orthogonal systems that do not communicate with each other. Our project characterizes interactions between HSL-producing sender cells and our newly developed receivers (LasR, TraR, and RpaR) using an HSL-induced GFP reporter system. We expect to add 3 new well-characterized receivers to build upon foundational advances such as the work with LuxR (BBa_F2620) by B. Canton. Our work also builds upon important research in biosafety (from our 2016 project) by using ethyl alcohol eliminate HSL bioactivity.

"
